school_ages,month_year,total_prescriptions,people,year,population,pop_rate,pop_rate_100,pop_rate_1000,proportion
Upper Primary (8-11),2017-11-01,882,506,2017,25675,0.034352482960077896,3.4352482960077895,34.35248296007789,0.0197078870496592
Upper Primary (8-11),2017-12-01,808,489,2017,25675,0.03147030185004868,3.1470301850048683,31.470301850048685,0.01904576436222006
Upper Primary (8-11),2018-01-01,916,508,2018,26313,0.03481169003914415,3.4811690039144154,34.81169003914415,0.019306046440922736
Upper Primary (8-11),2018-02-01,791,472,2018,26313,0.030061186485767492,3.006118648576749,30.061186485767493,0.01793790141755026
Upper Primary (8-11),2018-03-01,893,507,2018,26313,0.03393759738532284,3.3937597385322844,33.937597385322846,0.019268042412495724
Upper Primary (8-11),2018-04-01,819,486,2018,26313,0.03112529928172386,3.1125299281723864,31.125299281723862,0.018469957815528446
Upper Primary (8-11),2018-05-01,916,531,2018,26313,0.03481169003914415,3.4811690039144154,34.81169003914415,0.020180139094744042
Upper Primary (8-11),2018-06-01,856,508,2018,26313,0.03253144833352335,3.2531448333523354,32.53144833352335,0.019306046440922736
Upper Primary (8-11),2018-07-01,659,388,2018,26313,0.02504465473340174,2.5044654733401743,25.044654733401742,0.014745563029681146
Upper Primary (8-11),2018-08-01,1075,549,2018,26313,0.04085433055903926,4.085433055903926,40.85433055903926,0.02086421160643028
Upper Primary (8-11),2018-09-01,779,485,2018,26313,0.02960513814464333,2.960513814464333,29.60513814464333,0.018431953787101434
Upper Primary (8-11),2018-10-01,959,509,2018,26313,0.03644586326150572,3.644586326150572,36.44586326150572,0.01934405046934975
Upper Primary (8-11),2018-11-01,969,544,2018,26313,0.036825903545775855,3.6825903545775853,36.82590354577586,0.020674191464295215
Upper Primary (8-11),2018-12-01,904,502,2018,26313,0.03435564169801999,3.435564169801999,34.35564169801999,0.019078022270360658
Upper Primary (8-11),2019-01-01,946,569,2019,26922,0.03513854839907882,3.5138548399078817,35.138548399078815,0.021135131119530495
Upper Primary (8-11),2019-02-01,896,538,2019,26922,0.033281331253250133,3.3281331253250133,33.28133125325013,0.019983656489116708
Upper Primary (8-11),2019-03-01,829,489,2019,26922,0.030792660277839685,3.0792660277839685,30.792660277839683,0.01816358368620459
Upper Primary (8-11),2019-04-01,829,489,2019,26922,0.030792660277839685,3.0792660277839685,30.792660277839683,0.01816358368620459
Upper Primary (8-11),2019-05-01,1167,622,2019,26922,0.04334744818364163,4.334744818364164,43.34744818364163,0.023103781294108908
Upper Primary (8-11),2019-06-01,981,550,2019,26922,0.036438600401158906,3.6438600401158907,36.43860040115891,0.020429388604115594
Upper Primary (8-11),2019-07-01,894,520,2019,26922,0.03320704256741698,3.3207042567416982,33.207042567416984,0.01931505831661838
Upper Primary (8-11),2019-08-01,725,453,2019,26922,0.026929648614516008,2.6929648614516006,26.929648614516008,0.016826387341207935
Upper Primary (8-11),2019-09-01,775,491,2019,26922,0.0287868657603447,2.87868657603447,28.7868657603447,0.01823787237203774
Upper Primary (8-11),2019-10-01,751,459,2019,26922,0.02789540153034693,2.789540153034693,27.89540153034693,0.017049253398707376
Upper Primary (8-11),2019-11-01,803,491,2019,26922,0.029826907362008766,2.9826907362008765,29.826907362008768,0.01823787237203774
Upper Primary (8-11),2019-12-01,748,464,2019,26922,0.027783968501597207,2.7783968501597207,27.783968501597208,0.017234975113290245
Upper Primary (8-11),2020-01-01,818,495,2020,26823,0.03049621593408642,3.049621593408642,30.49621593408642,0.018454311598255228
Upper Primary (8-11),2020-02-01,707,451,2020,26823,0.02635797636356858,2.635797636356858,26.35797636356858,0.016813928345076987
Upper Primary (8-11),2020-03-01,872,527,2020,26823,0.03250941356298699,3.250941356298699,32.50941356298699,0.019647317600566677
Upper Primary (8-11),2020-04-01,562,371,2020,26823,0.020952167915594826,2.0952167915594826,20.952167915594828,0.013831413339298363
Upper Primary (8-11),2020-05-01,576,381,2020,26823,0.021474108041606085,2.1474108041606086,21.474108041606087,0.014204227715020692
Upper Primary (8-11),2020-06-01,639,401,2020,26823,0.02382283860865675,2.382283860865675,23.82283860865675,0.014949856466465346
Upper Primary (8-11),2020-07-01,626,393,2020,26823,0.023338179920217722,2.333817992021772,23.338179920217723,0.014651604965887485
Upper Primary (8-11),2020-08-01,767,484,2020,26823,0.028594862617902547,2.859486261790255,28.594862617902546,0.018044215784960668
Upper Primary (8-11),2020-09-01,973,549,2020,26823,0.0362748387577825,3.62748387577825,36.2748387577825,0.0204675092271558
Upper Primary (8-11),2020-10-01,930,545,2020,26823,0.03467173694217649,3.467173694217649,34.671736942176494,0.020318383476866868
Upper Primary (8-11),2020-11-01,852,521,2020,26823,0.03176378481154233,3.176378481154233,31.76378481154233,0.01942362897513328
Upper Primary (8-11),2020-12-01,852,521,2020,26823,0.03176378481154233,3.176378481154233,31.76378481154233,0.01942362897513328
Upper Primary (8-11),2021-01-01,1215,629,2021,26823,0.045296946650262834,4.529694665026283,45.29694665026283,0.02345002423293442
Upper Primary (8-11),2021-02-01,844,517,2021,26823,0.03146553331096447,3.1465533310964475,31.465533310964474,0.01927450322484435
Upper Primary (8-11),2021-03-01,1270,695,2021,26823,0.047347425716735635,4.734742571673563,47.347425716735636,0.025910599112701785
Upper Primary (8-11),2021-04-01,1147,635,2021,26823,0.04276180889535101,4.276180889535101,42.76180889535101,0.023673712858367817
